Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Military expenditure (current USD),MS.MIL.XPND.CD,Bulgaria,BGR,794520547.945205,351343204.852869,757931260.042945,722052494.990309,811634330.232022,747532532.136439,632509635.003401,670592858.359724,720037970.85424,961297274.594496,2158557527.18947,1247231612.076
Military expenditure (current USD),MS.MIL.XPND.CD,Burkina Faso,BFA,84465502.3598333,36658539.0518782,138850860.201837,147729698.91896,166136345.235204,177166971.776294,147934736.66413,149467363.227452,191065838.764304,305781079.057984,357921557.517774,382464677.360491
Military expenditure (current USD),MS.MIL.XPND.CD,Burundi,BDI,39602347.3767189,42321552.2157761,..,58966662.2761714,60859500.0932422,62177294.739088,66164584.4355924,66462843.0779874,63908678.4320088,65436595.2627955,84689413.9182017,67474092.716297
Military expenditure (current USD),MS.MIL.XPND.CD,Cabo Verde,CPV,..,6801072.79821535,9757536.56239718,9736385.83866217,9815671.63454704,10048862.0699012,8922219.45508732,10171216.502214,9354384.16628162,10714071.127336,9728061.08978655,11279268.103582
Military expenditure (current USD),MS.MIL.XPND.CD,Cambodia,KHM,29090909.0909091,81025841.3070364,192159418.504374,217305727.746095,243470109.876467,277974068.111455,325188062.343281,382205260.411544,458262797.923612,543204689.086157,595407617.667785,646974133.281472
Military expenditure (current USD),MS.MIL.XPND.CD,Cameroon,CMR,180577745.946045,123034343.854287,347477885.670932,354447463.111647,392840630.898917,401529118.101393,353815494.553489,387437830.87299,408157575.13556,429892180.57235,422294771.980244,393299390.063774
Military expenditure (current USD),MS.MIL.XPND.CD,Canada,CAN,11414631846.8936,8299385230.72365,21393720863.7223,20452107110.9741,18515731209.9437,17853640477.6849,17937641894.7407,17782775543.0736,22269696323.3229,22729327580.3404,22204408440.0904,22754847129.0082
Military expenditure (current USD),MS.MIL.XPND.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Central African Republic,CAF,..,..,49874328.7289188,42746025.1857394,47923241.4489087,38407009.9214563,26703885.6228391,26832998.8201935,27516264.1779352,30517648.4136581,40777666.6587025,41303630.0762855
Military expenditure (current USD),MS.MIL.XPND.CD,Chad,TCD,34341542.2474428,21349034.2371091,609706993.08702,..,726459396.000324,392382954.592792,220982331.558035,309567431.726812,219081031.370278,253174123.337364,234709654.958205,322866526.49139
Military expenditure (current USD),MS.MIL.XPND.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Chile,CHL,1031475584.0382,2103460609.68852,5686752069.60146,5466101782.01784,5529879480.60968,5102777422.11734,4630772773.72175,4796010962.08952,5370018134.87068,5545831932.77856,5182156528.66016,4600739697.2954
Military expenditure (current USD),MS.MIL.XPND.CD,China,CHN,9926349250.81692,22237140151.2145,125286373164.011,145127609596.207,164070469321.744,182109325991.68,196538827230.79,198538361427.554,210443034740.968,232530595985.266,240332555458.151,252304223741.309
Military expenditure (current USD),MS.MIL.XPND.CD,Colombia,COL,889979074.541223,3027922793.23722,10306578505.9573,11706271912.7386,12503812627.422,11845950895.3824,9127165374.88958,8675980822.76398,10018029817.5824,10134719590.5505,10167547855.5704,9216420435.93263
Military expenditure (current USD),MS.MIL.XPND.CD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Dem. Rep.",COD,45933813.550475,132883821.703899,238787546.588275,332493979.374942,374475653.351818,341224634.406213,491276877.079054,395733745.247056,295236074.31758,295348364.63547,352709565.59682,362091615.539271
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Rep.",COG,..,..,..,..,367057295.47164,704893729.407907,..,501812144.937836,371937055.076808,292260465.250187,299953238.969346,298382191.947452
Military expenditure (current USD),MS.MIL.XPND.CD,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0
Military expenditure (current USD),MS.MIL.XPND.CD,Cote d'Ivoire,CIV,143973702.091712,..,357330259.014212,407596534.123237,430003610.836489,521260529.25103,569671621.544538,602538731.235354,501578732.245649,607848217.884494,535951382.180975,607155889.9682
Military expenditure (current USD),MS.MIL.XPND.CD,Croatia,HRV,..,659775033.312514,1106464041.97707,955320163.615821,956952644.05211,1063469743.28113,883162983.266817,836685042.08224,920837052.918188,966358716.798887,1001812141.34703,1034925914.72634
